City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Maribyrnong,35 Saltwater Cr,3,h,1101000,S,Woodards,28-10-2017,4.3,3032,2,2,,,,Maribyrnong City Council,-37.77316,144.87335,Western Metropolitan,4918
Bundoora,219 Greenwood Dr,3,h,745000,S,Ray,23-09-2017,12.1,3083,1,2,586,,1970,Banyule City Council,-37.70762,145.07179,Northern Metropolitan,10175
Newport,112 Johnston St,3,h,1230000,S,Williams,24-06-2017,6.2,3015,1,1,396,123,1900,Hobsons Bay City Council,-37.8363,144.87588,Western Metropolitan,5498
Glen Waverley,11 Henderson Ct,8,t,,PI,Ray,21-10-2017,16.7,3150,6,3,650,,,Monash City Council,-37.87549,145.17161,Eastern Metropolitan,15321
Dandenong,18 Fifth Av,4,h,570000,SP,LJH,07-10-2017,24.7,3175,2,2,558,109,1960,Greater Dandenong City Council,-37.98046,145.20487,South-Eastern Metropolitan,10894
Wheelers Hill,12 Bellini Av,4,h,1155000,S,Ray,27-05-2017,16.7,3150,,,,,,Monash City Council,,,South-Eastern Metropolitan,7392
Brighton East,4 Vincent St,3,h,1480000,S,hockingstuart,07-11-2016,10.7,3187,2,2,697,143,1925,Bayside City Council,-37.9269,145.0274,Southern Metropolitan,6938
Clarinda,11 Christopher Ct,5,h,1425000,S,Buxton,03-03-2018,17.5,3169,3,4,756,,,Kingston City Council,-37.93591,145.10489,South-Eastern Metropolitan,2727
Alphington,31 Naroon Rd,3,h,,SN,Miles,11-11-2017,5.7,3078,2,2,,,,Darebin City Council,-37.7764,145.0283,Northern Metropolitan,2211
Alphington,22 Harker St,4,h,1680000,S,Love,03-09-2017,5.7,3078,3,2,720,,,Darebin City Council,-37.77928,145.02993,Northern Metropolitan,2211
Frankston,323 Cranbourne Rd,4,h,636000,S,Barry,25-11-2017,38,3199,2,2,575,,,Frankston City Council,-38.1549,145.1636,South-Eastern Metropolitan,17055
Coburg North,17 Lorensen Av,3,h,845000,S,Nelson,03-09-2016,9.2,3058,,,,,,Darebin City Council,,,Northern Metropolitan,3445
Croydon,14 Venetian Ct,3,h,858000,S,RW,16-09-2017,23,3136,1,2,857,139,1960,Maroondah City Council,-37.80244,145.29711,Eastern Metropolitan,11925
Malvern East,19 Belson St,4,h,2800000,S,Marshall,12-11-2016,11.2,3145,2,3,809,,1925,Stonnington City Council,-37.8664,145.0452,Southern Metropolitan,8801
Mitcham,6/490 Mitcham Rd,3,t,799100,S,Buxton,09-09-2017,17.2,3132,2,2,,,1990,Whitehorse City Council,-37.82274,145.1927,Eastern Metropolitan,6871
Glenroy,1/7 Harold St,3,t,550000,SP,Stockdale,22-08-2016,13,3046,2,2,212,129,2010,Moreland City Council,-37.7073,144.9277,Northern Metropolitan,8870
Footscray,6/114 Commercial Rd,1,u,291000,PI,Sweeney,07-05-2016,6.4,3011,1,1,665,46,1970,Maribyrnong City Council,-37.7978,144.8918,Western Metropolitan,7570
Essendon West,27 Ruby St,3,h,810000,SP,Paul,22-08-2016,9.8,3040,1,2,368,,,Moonee Valley City Council,-37.7527,144.8851,Western Metropolitan,588
Maribyrnong,18 Valnere St,5,h,970000,PI,Biggin,21-10-2017,4.3,3032,2,2,515,150,1960,Maribyrnong City Council,-37.78461,144.88474,Western Metropolitan,4918
Preston,50 Newcastle St,2,h,1050000,S,Love,17-06-2017,8.4,3072,1,1,688,,,Darebin City Council,-37.74847,145.01193,Northern Metropolitan,14577
Carlton North,377 Canning St,3,h,,S,Nelson,26-07-2016,3.2,3054,2,1,163,167,1883,Melbourne City Council,-37.7877,144.9743,Northern Metropolitan,3106
Bentleigh East,25 Magnolia Av,4,h,1130000,S,Woodards,11-02-2017,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Niddrie,4/503 Keilor Rd,1,u,325000,PI,Nelson,20-05-2017,11.2,3042,1,1,710,58,2015,Moonee Valley City Council,-37.7355,144.8874,Western Metropolitan,2291
Point Cook,35 Viola Av,4,h,,SN,Point,10-03-2018,14.7,3030,2,2,536,192,2010,Wyndham City Council,-37.90757,144.74378,Western Metropolitan,15542
Balwyn North,65 Sylvander St,4,h,,SS,RT,22-08-2016,9.2,3104,2,2,628,239,1940,Boroondara City Council,-37.7868,145.0943,Southern Metropolitan,7809
Brunswick,45a Garnet St,3,t,865000,PI,Barry,25-11-2017,5.2,3056,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Brighton East,6 Murray St,5,h,1450000,PI,Buxton,22-05-2016,10.7,3187,3,2,527,,,Bayside City Council,-37.9061,145.0238,Southern Metropolitan,6938
Doncaster,11 Rose St,3,h,,PN,RT,12-08-2017,12.4,3108,1,1,734,113,1960,Manningham City Council,-37.78932,145.12173,Eastern Metropolitan,9028
Brunswick,53 Stewart St,2,h,1075000,VB,Jellis,21-10-2017,5.2,3056,1,1,2400,98,1910,Moreland City Council,-37.76386,144.96776,Northern Metropolitan,11918
St Kilda,8/15 Herbert St,2,u,640000,S,hockingstuart,03-12-2016,6.1,3182,1,1,1055,,,Port Phillip City Council,-37.8715,144.9827,Southern Metropolitan,13240
Richmond,52 Coppin St,2,h,,S,Biggin,24-09-2016,2.6,3121,1,1,153,73,1900,Yarra City Council,-37.8195,145.0035,Northern Metropolitan,14949
Point Cook,148 Citybay Dr,5,h,,VB,hockingstuart,14-10-2017,14.7,3030,3,2,374,,,Wyndham City Council,-37.90731,144.77921,Western Metropolitan,15542
Keilor East,11 Mainridge Vs,2,h,,W,The,09-12-2017,11.7,3033,,,,,,Brimbank City Council,,,Western Metropolitan,5629
Prahran,69 Greville St,4,h,2668000,S,Biggin,26-08-2017,4.6,3181,2,2,383,,,Stonnington City Council,-37.84879,144.98882,Southern Metropolitan,7717
Ascot Vale,109 Union Rd,3,h,1000000,S,Nelson,07-10-2017,4.3,3032,2,2,,,,Moonee Valley City Council,-37.77572,144.91531,Western Metropolitan,6567
Montmorency,18 Orr La,3,h,841000,S,Stockdale,14-10-2017,16.2,3094,1,2,476,110,1970,Banyule City Council,-37.72764,145.12672,Eastern Metropolitan,3891
Reservoir,2/17 Best St,2,h,520000,S,Nelson,16-09-2017,12,3073,1,1,,,,Darebin City Council,-37.71362,144.99663,Northern Metropolitan,21650
Moonee Ponds,1/48 Scotia St,2,u,495000,S,Nelson,24-02-2018,6.2,3039,,,,,,Moonee Valley City Council,,,Western Metropolitan,6232
Hoppers Crossing,14 Coolabah Cr,3,h,550000,S,Sweeney,26-08-2017,18.4,3029,2,4,,,1990,Wyndham City Council,-37.8613,144.70937,Western Metropolitan,13830
Footscray,39 Moore St,3,h,,SP,Burnham,22-08-2016,6.4,3011,1,2,272,106,1920,Maribyrnong City Council,-37.7977,144.904,Western Metropolitan,7570
Hillside,19 Wolviston Av,4,h,660000,S,Barry,08-07-2017,18,3037,2,2,724,,,Brimbank City Council,-37.6869,144.7485,Western Metropolitan,5556
Carnegie,8/42 Tranmere Av,1,u,403000,S,Gary,23-09-2017,10.1,3163,1,1,,,,Glen Eira City Council,-37.89102,145.06072,Southern Metropolitan,7822
Hampton,36 Thomas St,4,h,3250000,S,hockingstuart,03-09-2016,13.7,3188,3,2,928,300,1904,Bayside City Council,-37.9389,145.0062,Southern Metropolitan,5454
Strathmore Heights,353a Mascoma St,3,u,750000,VB,Paul,28-05-2016,12.5,3041,,,,,,Moonee Valley City Council,,,Western Metropolitan,389
Kew,2/380 High St,2,u,599000,S,Christopher,06-08-2016,5.6,3101,1,1,0,,,Boroondara City Council,-37.8046,145.0375,Southern Metropolitan,10331
Glen Waverley,2 Wattletree Ct,5,h,1832000,S,Barry,22-07-2017,16.7,3150,2,2,803,,,Monash City Council,-37.87942,145.17668,Eastern Metropolitan,15321
Essendon,14 Amelia Av,6,h,1150000,VB,Nelson,14-10-2017,7.5,3040,3,2,423,,1995,Moonee Valley City Council,-37.74559,144.92351,Western Metropolitan,9264
Bentleigh East,892 Centre Rd,2,h,876000,S,buyMyplace,16-09-2017,13.8,3165,1,1,,,,Glen Eira City Council,-37.92355,145.07689,Southern Metropolitan,10969
Bentleigh,25 Mitchell St,3,h,1448000,S,hockingstuart,19-11-2016,13,3204,2,3,568,,,Glen Eira City Council,-37.9246,145.0383,Southern Metropolitan,6795
Footscray,167 Gordon St,2,h,711000,SP,Jas,18-06-2016,6.4,3011,1,2,253,90,1910,Maribyrnong City Council,-37.7968,144.8887,Western Metropolitan,7570
South Yarra,33a Clara St,2,h,1500000,S,Castran,12-06-2016,3.3,3141,1,2,141,,,Melbourne City Council,-37.8408,144.9977,Southern Metropolitan,14887
Hawthorn,14 Salisbury Gr,4,h,,S,Jellis,03-03-2018,5.3,3122,2,0,378,170,1890,Boroondara City Council,-37.81592,145.03837,Southern Metropolitan,11308
Essendon,1 Daisy St,4,h,1400000,VB,Nelson,08-04-2017,8,3040,2,1,267,,,Moonee Valley City Council,-37.7558,144.9106,Western Metropolitan,9264
Thornbury,244B Rossmoyne St,3,h,1405000,PI,McGrath,03-03-2018,7,3071,2,2,350,,,Darebin City Council,-37.75898,145.01642,Northern Metropolitan,8870
Keilor East,3/17 Cohen St,2,u,636000,S,Alexkarbon,17-03-2018,11.7,3033,,,,,,Brimbank City Council,,,Western Metropolitan,5629
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,10-09-2016,13.8,3018,1,2,115,57,1980,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301
Hampton East,1/16 Nepean Av,4,h,,S,Hodges,20-05-2017,14.5,3188,,,,,,Bayside City Council,,,Southern Metropolitan,2356
Aspendale,85 Nepean Hwy,3,h,1300000,PI,Ray,16-09-2017,21.5,3195,2,2,673,,,Kingston City Council,-38.02094,145.09737,South-Eastern Metropolitan,2824
Burwood,3/16 Wridgway Av,2,u,758000,SP,Buxton,06-01-2018,10.4,3125,,,,,,Monash City Council,,,Southern Metropolitan,5678
North Melbourne,70 Provost St,2,t,810000,S,Alexkarbon,17-03-2018,1.8,3051,1,1,1145,,1996,Melbourne City Council,-37.8017,144.94602,Northern Metropolitan,6821
Yarraville,16/11 Berry St,3,t,800000,VB,Jas,28-05-2016,7,3013,2,1,169,150,2007,Maribyrnong City Council,-37.8122,144.8965,Western Metropolitan,6543
Footscray,36 Southampton St,2,h,910000,S,Sweeney,17-06-2017,5.1,3011,1,0,312,,,Maribyrnong City Council,-37.79592,144.88595,Western Metropolitan,7570
Rowville,1 Ideal Ct,5,h,933000,S,Harcourts,03-03-2018,23.5,3178,2,3,665,,,Knox City Council,-37.93416,145.21988,South-Eastern Metropolitan,11667
Frankston,13 Isabella Cr,4,h,670000,S,Ray,28-10-2017,38,3199,2,2,692,181,1977,Frankston City Council,-38.17436,145.1565,South-Eastern Metropolitan,17055
Glenroy,4 Trevannion St,3,h,,SN,Nelson,17-09-2016,13,3046,2,2,650,,,Moreland City Council,-37.7019,144.9182,Northern Metropolitan,8870
Bentleigh East,38 Orange St,4,h,1420000,S,Jellis,06-01-2018,13.8,3165,2,4,680,,,Glen Eira City Council,-37.91776,145.07812,Southern Metropolitan,10969
Ashburton,56 Gloucester Rd,4,h,1600000,VB,Jellis,22-08-2016,11,3147,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Keysborough,37 Petunia Dr,4,h,,SS,Barry,28-10-2017,25.2,3173,2,2,419,,,Greater Dandenong City Council,-38.00171,145.17754,South-Eastern Metropolitan,8459
Armadale,27 Cambridge St,3,h,,SA,Jellis,09-09-2017,6.3,3143,2,,204,147,1900,Stonnington City Council,-37.85943,145.01814,Southern Metropolitan,4836
Balwyn,3/103 Strabane Av,2,u,690000,SA,Noel,17-06-2017,7.9,3103,,,,,,Boroondara City Council,,,Southern Metropolitan,5682
Sunshine,69 Dickson St,4,h,1254000,S,Jas,18-11-2017,10.5,3020,,,,,,Brimbank City Council,,,Western Metropolitan,3755
Mernda,23 Stradling Ri,4,h,620000,S,YPA,22-07-2017,25.9,3754,,,,,,Whittlesea City Council,,,Northern Metropolitan,5812
Brunswick West,36 Newman St,3,h,1100000,S,Brad,01-07-2017,5.2,3055,1,1,322,,,Moreland City Council,-37.76073,144.94803,Northern Metropolitan,7082
Richmond,704/36 Regent St,2,u,665000,PI,hockingstuart,24-06-2017,2.4,3121,,,,,,Yarra City Council,,,Northern Metropolitan,14949
Croydon,25 Toorak Av,4,h,1152000,S,RW,19-08-2017,23,3136,2,2,1880,255,1947,Maroondah City Council,-37.79325,145.27724,Eastern Metropolitan,11925
Malvern,4a Milton Pde,5,h,,PI,RT,17-06-2017,5.9,3144,,,,,,Stonnington City Council,,,Southern Metropolitan,4675
North Melbourne,443 Abbotsford St,2,h,1200000,SP,Jellis,24-09-2016,2.3,3051,2,1,146,,,Melbourne City Council,-37.7959,144.9464,Northern Metropolitan,6821
Northcote,221 Mitchell St,4,h,1700000,VB,Jellis,10-03-2018,5.3,3070,1,2,486,156,1940,Darebin City Council,-37.77373,145.01414,Northern Metropolitan,11364
Mickleham,19 Delson Wy,4,h,541000,SP,YPA,28-10-2017,20.6,3064,2,2,443,,,Hume City Council,-37.53622,144.90101,Northern Metropolitan,1158
Windsor,15 Williams Rd,4,h,,SN,Jellis,18-06-2016,5.1,3181,2,2,294,179,2013,Port Phillip City Council,-37.8572,145.0015,Southern Metropolitan,4380
St Kilda,51/3 Alfred Sq,2,u,610000,S,Whiting,22-05-2016,6.1,3182,1,1,1211,,1970,Port Phillip City Council,-37.8644,144.9741,Southern Metropolitan,13240
Lalor,32 Mindoro Cr,3,h,612000,S,Barry,21-10-2017,16.3,3075,1,4,545,,1985,Whittlesea City Council,-37.66246,145.03292,Northern Metropolitan,8279
Chadstone,8 Bosco St,3,h,1080000,PI,McGrath,03-06-2017,11.7,3148,1,1,588,,,Monash City Council,-37.88246,145.10046,Southern Metropolitan,3582
Richmond,107 Hoddle St,3,h,,PI,Biggin,19-08-2017,2.4,3121,1,,206,,,Yarra City Council,-37.81344,144.99096,Northern Metropolitan,14949
Pascoe Vale,31 Zenith St,4,h,1196000,S,Nelson,04-03-2017,9.9,3044,2,2,559,281,1997,Moreland City Council,-37.7236,144.9347,Northern Metropolitan,7485
Templestowe Lower,3 Jeffrey St,4,h,,SN,Assisi,07-05-2016,13.8,3107,3,4,773,42,1970,Manningham City Council,-37.7668,145.1043,Eastern Metropolitan,5420
Burwood East,45 Lenna St,3,h,1320000,S,McGrath,15-07-2017,14.7,3151,1,1,620,,,Whitehorse City Council,-37.85436,145.13827,Eastern Metropolitan,4048
Hampton,1/3 Alicia St,3,u,1450000,S,hockingstuart,18-03-2017,13.7,3188,,,,,,Bayside City Council,,,Southern Metropolitan,5454
Elwood,78 Dickens St,4,h,2200000,PI,Wilson,27-06-2016,7.7,3184,3,2,348,218,1900,Port Phillip City Council,-37.8748,144.9778,Southern Metropolitan,8989
Donvale,38 Oregon Dr,3,h,,PI,Noel,29-07-2017,16.1,3111,1,2,745,,,Manningham City Council,-37.79291,145.17428,Eastern Metropolitan,4790
Ivanhoe,116 Ford St,3,h,,S,Nelson,20-05-2017,7.9,3079,1,1,792,,,Banyule City Council,-37.7636,145.0332,Eastern Metropolitan,5549
Coburg,133 Rennie St,2,h,645000,SP,Jellis,30-07-2016,7.8,3058,1,1,702,,,Darebin City Council,-37.7517,144.9795,Northern Metropolitan,11204
Dandenong North,50 Aberdeen Dr,5,h,,PI,Del,07-10-2017,24.7,3175,2,5,538,,,Greater Dandenong City Council,-37.95471,145.1986,South-Eastern Metropolitan,8322
Burwood,64 Somers St,3,h,1510000,S,Lindellas,24-02-2018,10.4,3125,2,2,621,,,Monash City Council,-37.84484,145.10045,Southern Metropolitan,5678
Carlton North,17 Shakespeare St,2,h,1065000,S,Woodards,03-03-2018,3.5,3054,1,0,96,80,1880,Melbourne City Council,-37.788,144.96978,Northern Metropolitan,3106
Blackburn,43 Rosalind Cr,4,h,,S,Fletchers,14-10-2017,13.4,3130,2,2,,,1980,Whitehorse City Council,-37.82966,145.15819,Eastern Metropolitan,5713
Kingsville,20 Chirnside St,3,h,1180000,SP,Greg,28-10-2017,6.4,3012,2,0,277,137,1910,Maribyrnong City Council,-37.80535,144.88297,Western Metropolitan,1808
Melton West,4 Eliana Cl,3,h,465000,SP,FN,17-03-2018,31.7,3337,2,5,879,169,1990,Melton City Council,-37.66952,144.55359,Northern Victoria,6065
Fawkner,169 Anderson Rd,3,h,730000,S,hockingstuart,29-04-2017,12.4,3060,1,2,638,,,Hume City Council,-37.6952,144.9613,Northern Metropolitan,5070
Kew East,62 Kilby Rd,4,h,1980000,VB,Fletchers,09-09-2017,7.3,3102,2,3,846,,,Boroondara City Council,-37.79187,145.0487,Southern Metropolitan,2671
Reservoir,45 Keon Pde,3,h,,PI,Harcourts,28-08-2016,11.2,3073,1,2,574,,,Darebin City Council,-37.6958,145.0177,Northern Metropolitan,21650
Mont Albert,3/72 Kenmare St,4,t,1310000,PI,Fletchers,27-11-2016,11.8,3127,,,,,,Boroondara City Council,,,Eastern Metropolitan,2079
Reservoir,67 Seston St,3,h,610000,VB,Love,03-03-2018,12,3073,1,2,609,86,1950,Darebin City Council,-37.72756,145.03447,Northern Metropolitan,21650
Carlton,83 Cardigan St,2,h,840000,SP,Jellis,08-10-2016,1.8,3053,1,0,66,81,1900,Melbourne City Council,-37.8049,144.9644,Northern Metropolitan,6786
Thornbury,56a Leinster Gr,3,t,1070000,S,Jellis,24-09-2016,6.5,3071,2,2,158,140,2007,Darebin City Council,-37.7588,144.9881,Northern Metropolitan,8870
Collingwood,305/28 Stanley St,2,u,,S,Jellis,24-02-2018,2,3066,,,,,,Yarra City Council,,,Northern Metropolitan,4553
Malvern East,546 Waverley Rd,3,h,,SP,Jellis,28-05-2016,11.2,3145,1,1,591,117,1950,Stonnington City Council,-37.8801,145.0724,Southern Metropolitan,8801
Preston,27/122 High St,2,u,417500,S,Harcourts,03-09-2017,8.4,3072,2,1,,72,2010,Darebin City Council,-37.74762,145.00261,Northern Metropolitan,14577
Port Melbourne,220/99 Dow St,2,u,625000,PI,RT,18-06-2016,3.8,3207,2,1,2166,,,Melbourne City Council,-37.8415,144.9412,Southern Metropolitan,8648
Mont Albert,7 Kingsley Cr,3,h,1901000,S,Noel,10-12-2016,11.8,3127,,,,,,Boroondara City Council,,,Eastern Metropolitan,2079
Bentleigh East,20 Northam Rd,3,h,1315000,S,Buxton,03-06-2017,13.8,3165,1,2,617,353,,Glen Eira City Council,-37.92284,145.06423,Southern Metropolitan,10969
Armadale,595 Orrong Rd,3,h,,S,Jellis,13-08-2016,6.3,3143,2,2,292,146,1910,Stonnington City Council,-37.8523,145.0116,Southern Metropolitan,4836
Reservoir,28 Crookston Rd,3,h,645000,SP,McGrath,18-11-2017,12,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Yarraville,14 Lennox St,3,h,1131500,SP,Jas,08-04-2017,7,3013,1,1,248,,,Maribyrnong City Council,-37.8157,144.8925,Western Metropolitan,6543
Toorak,8/161 Alexandra Av,2,u,735000,SP,Jellis,22-07-2017,4.1,3142,1,1,0,84,1935,Stonnington City Council,-37.83241,145.00705,Southern Metropolitan,7217
Beaumaris,49 Haldane St,4,h,,SP,Buxton,28-10-2017,17.3,3193,2,2,,0,2015,Bayside City Council,-37.98639,145.03864,Southern Metropolitan,5366
Hadfield,90 Hilton St,3,h,685000,SP,Barry,17-03-2018,11.2,3046,1,2,550,107,1970,Moreland City Council,-37.70202,144.94064,Northern Metropolitan,2606
Middle Park,15 Fraser St,2,h,1025000,S,Marshall,23-04-2016,4.1,3206,1,0,123,73,1910,Port Phillip City Council,-37.8551,144.968,Southern Metropolitan,2019
Bentleigh,2/511 South Rd,2,u,745000,S,Jellis,11-11-2017,11.4,3204,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795
Malvern East,22 Ellison St,3,h,1297000,S,Marshall,27-11-2016,11.2,3145,1,1,333,147,1948,Stonnington City Council,-37.8722,145.067,Southern Metropolitan,8801
Richmond,30 Corsair St,2,h,1210000,S,Jellis,29-04-2017,2.6,3121,1,0,178,,,Yarra City Council,-37.8226,145.0064,Northern Metropolitan,14949
Reservoir,61 Liston Av,4,h,,S,Nelson,27-06-2016,11.2,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Elwood,4/4 Poets Gve,1,u,425000,S,hockingstuart,01-07-2017,7.2,3184,,,,,,Port Phillip City Council,,,Southern Metropolitan,8989
Hawthorn East,12 Heather Ct,3,h,,SP,Jellis,15-10-2016,7.5,3123,1,1,505,146,1950,Boroondara City Council,-37.8389,145.0433,Southern Metropolitan,6482
Balwyn North,36 Larbert Av,3,h,1425000,PI,Parkes,27-06-2016,9.2,3104,,,,,,Boroondara City Council,,,Southern Metropolitan,7809
Hawthorn,25 Henry St,2,h,1401000,PI,Kay,17-02-2018,5.3,3122,1,0,188,,,Boroondara City Council,-37.82107,145.04284,Southern Metropolitan,11308
Brunswick,11 Fifth Av,4,h,1700000,VB,Jellis,25-11-2017,5.2,3056,,,,,,Moreland City Council,,,Northern Metropolitan,11918
